violence_physique,ctrl_score,ethnicite,transmission_intergen,alcool_partenaire,ecart_age,age_femme,religion,age_partenaire,region,occupation_partenaire,age_premiere_union,age_premier_rapport,richesse,education_partenaire,education_femme,attitude_score,autonomie_score,polygamie,residence_partenaire,milieu
1,5,256,1.0,2.0,10.0,28,1,38.0,4,11.0,16,14.0,1,,1,4.0,0,0.0,1.0,2
0,0,256,1.0,1.0,8.0,35,2,43.0,4,11.0,16,14.0,3,1.0,1,0.0,0,0.0,1.0,2
0,0,256,0.0,,7.0,23,1,30.0,4,11.0,14,15.0,3,2.0,2,0.0,2,0.0,1.0,2
1,0,256,1.0,2.0,8.0,26,2,34.0,4,11.0,10,14.0,2,1.0,1,0.0,0,0.0,1.0,2
0,0,241,0.0,1.0,,49,2,,2,,26,16.0,3,,1,0.0,0,,,1
1,1,242,0.0,2.0,9.0,38,2,47.0,2,11.0,18,18.0,2,1.0,1,2.0,0,2.0,1.0,1
1,2,256,0.0,0.0,16.0,29,2,45.0,2,21.0,26,14.0,4,3.0,2,1.0,2,0.0,1.0,1
1,3,229,0.0,2.0,,49,3,,2,,13,14.0,2,,2,0.0,0,,,1
1,0,84,1.0,1.0,9.0,27,2,36.0,2,11.0,19,17.0,3,1.0,1,0.0,0,0.0,1.0,1
1,0,241,1.0,1.0,7.0,25,1,32.0,2,11.0,20,15.0,3,1.0,1,0.0,0,,1.0,1
1,5,235,0.0,1.0,22.0,20,1,42.0,2,72.0,17,15.0,4,2.0,2,1.0,0,0.0,1.0,1
1,5,238,1.0,,4.0,31,1,35.0,2,11.0,16,18.0,3,1.0,1,3.0,0,0.0,1.0,1
1,5,241,,1.0,5.0,22,1,27.0,2,62.0,14,15.0,3,1.0,2,0.0,0,,1.0,1
0,5,230,,1.0,2.0,21,2,23.0,2,41.0,16,17.0,3,1.0,1,0.0,1,,1.0,1
1,2,199,0.0,2.0,8.0,25,1,33.0,12,62.0,16,16.0,4,,1,1.0,0,,1.0,1
0,1,244,0.0,2.0,7.0,41,1,48.0,12,62.0,22,16.0,5,3.0,3,0.0,0,,1.0,1
1,1,183,0.0,,4.0,30,3,34.0,12,62.0,26,17.0,4,3.0,3,0.0,0,0.0,1.0,1
1,3,236,1.0,1.0,,31,1,,12,,25,18.0,5,,3,1.0,0,,,1
1,3,256,1.0,1.0,2.0,38,1,40.0,12,82.0,15,13.0,4,,1,1.0,3,1.0,2.0,1
0,2,78,0.0,1.0,3.0,47,2,50.0,1,11.0,15,15.0,1,1.0,1,1.0,0,0.0,1.0,2
0,0,78,0.0,,9.0,27,2,36.0,1,11.0,14,14.0,1,0.0,1,0.0,0,0.0,1.0,2
0,0,3,0.0,,11.0,30,4,41.0,1,0.0,15,16.0,1,0.0,0,0.0,0,0.0,1.0,2
0,0,3,0.0,,10.0,48,4,58.0,1,11.0,15,15.0,1,0.0,0,0.0,0,0.0,1.0,2
0,0,78,0.0,,7.0,18,4,25.0,1,0.0,16,16.0,2,0.0,1,0.0,0,1.0,2.0,2
0,0,3,0.0,,13.0,23,4,36.0,1,12.0,19,19.0,1,0.0,0,0.0,0,0.0,1.0,2
0,0,3,0.0,,,35,4,,1,,13,13.0,1,,0,0.0,0,,,2
0,0,3,0.0,,11.0,25,4,36.0,1,66.0,14,14.0,2,0.0,0,0.0,0,1.0,1.0,2
0,0,3,0.0,,10.0,35,4,45.0,1,12.0,17,18.0,2,0.0,0,0.0,0,0.0,2.0,2
0,0,3,0.0,,6.0,30,4,36.0,1,11.0,20,15.0,1,0.0,0,5.0,0,0.0,1.0,2
0,0,78,0.0,,8.0,18,2,26.0,1,11.0,17,17.0,1,2.0,2,1.0,0,0.0,1.0,2
0,0,3,0.0,,30.0,30,4,60.0,1,0.0,12,13.0,1,0.0,0,0.0,0,0.0,1.0,2
0,1,3,0.0,,7.0,28,4,35.0,1,11.0,13,14.0,1,0.0,0,1.0,0,1.0,1.0,2
0,0,3,0.0,,15.0,25,4,40.0,1,11.0,13,14.0,1,0.0,0,0.0,0,1.0,1.0,2
0,0,3,0.0,,3.0,25,4,28.0,1,11.0,22,23.0,1,0.0,0,0.0,0,0.0,1.0,2
0,4,144,1.0,0.0,,49,2,,8,,11,,5,,2,0.0,0,,,1
0,2,143,0.0,2.0,8.0,28,2,36.0,8,42.0,27,23.0,5,3.0,3,0.0,2,0.0,2.0,1
0,2,173,1.0,0.0,6.0,27,3,33.0,8,62.0,23,20.0,5,2.0,3,0.0,0,0.0,1.0,1
0,0,33,0.0,2.0,30.0,22,1,52.0,5,72.0,16,16.0,1,0.0,0,2.0,0,0.0,2.0,2
1,0,33,0.0,2.0,3.0,36,1,39.0,5,82.0,18,18.0,1,1.0,0,0.0,0,0.0,1.0,2
0,0,33,0.0,2.0,8.0,32,1,40.0,5,82.0,13,13.0,1,0.0,0,0.0,0,0.0,1.0,2
0,1,33,1.0,1.0,,47,1,,5,,17,18.0,3,,1,3.0,0,,,2
0,0,33,0.0,2.0,9.0,17,1,26.0,5,11.0,14,15.0,2,1.0,0,0.0,0,0.0,1.0,2
0,1,33,0.0,,8.0,20,1,28.0,5,11.0,19,19.0,1,2.0,1,0.0,0,0.0,1.0,2
0,0,33,0.0,,11.0,46,1,57.0,5,11.0,26,15.0,2,2.0,1,0.0,0,0.0,2.0,2
0,0,33,0.0,,,32,1,,5,,15,16.0,1,,0,0.0,0,,,2
1,1,33,1.0,1.0,2.0,26,2,28.0,5,11.0,19,16.0,2,2.0,2,2.0,0,0.0,1.0,2
0,0,33,0.0,,10.0,45,1,55.0,5,73.0,14,14.0,1,0.0,0,0.0,1,0.0,1.0,2
0,1,33,1.0,2.0,1.0,39,1,40.0,5,11.0,17,18.0,3,1.0,1,2.0,0,0.0,1.0,2
1,1,33,0.0,1.0,8.0,23,2,31.0,5,72.0,20,21.0,1,1.0,1,5.0,0,0.0,1.0,2
0,1,33,0.0,1.0,17.0,40,5,57.0,5,11.0,19,18.0,1,0.0,0,2.0,0,0.0,1.0,2
0,1,33,0.0,,18.0,20,1,38.0,5,44.0,16,17.0,1,2.0,1,3.0,0,0.0,1.0,2
0,0,33,0.0,,7.0,23,1,30.0,5,11.0,18,19.0,2,0.0,1,0.0,0,0.0,1.0,2
0,0,232,0.0,,13.0,48,2,61.0,6,0.0,11,,5,1.0,1,0.0,0,0.0,1.0,1
0,0,245,0.0,2.0,4.0,28,1,32.0,6,0.0,16,15.0,5,1.0,1,0.0,0,0.0,1.0,1
1,1,232,0.0,2.0,5.0,44,1,49.0,6,11.0,18,17.0,3,2.0,1,0.0,0,0.0,1.0,1
0,0,231,0.0,,6.0,24,1,30.0,6,72.0,20,19.0,4,,2,0.0,0,0.0,1.0,1
0,0,232,0.0,,5.0,28,1,33.0,6,61.0,26,18.0,4,2.0,2,0.0,0,0.0,1.0,1
0,1,208,0.0,,16.0,19,7,35.0,6,66.0,17,16.0,4,2.0,1,0.0,0,0.0,1.0,1
1,2,232,0.0,2.0,5.0,26,1,31.0,6,75.0,16,17.0,2,2.0,2,0.0,0,0.0,1.0,1
0,0,232,0.0,2.0,7.0,45,2,52.0,6,96.0,21,18.0,3,,2,0.0,1,0.0,1.0,1
0,0,244,0.0,,0.0,35,3,35.0,3,31.0,24,18.0,5,3.0,2,0.0,3,0.0,1.0,1
0,2,202,0.0,0.0,15.0,25,1,40.0,3,62.0,24,15.0,5,2.0,3,0.0,0,0.0,1.0,1
0,0,189,0.0,2.0,,39,1,,3,,27,20.0,5,,3,0.0,0,,,1
0,1,202,1.0,1.0,7.0,25,1,32.0,3,31.0,21,19.0,5,3.0,3,0.0,0,0.0,1.0,1
0,1,229,0.0,,3.0,34,3,37.0,3,0.0,24,18.0,5,2.0,2,0.0,0,0.0,1.0,1
0,1,144,0.0,2.0,6.0,33,2,39.0,3,44.0,26,18.0,5,3.0,3,0.0,0,0.0,1.0,1
0,0,202,0.0,0.0,4.0,29,1,33.0,3,43.0,23,21.0,5,3.0,3,0.0,0,0.0,1.0,1
0,1,202,0.0,2.0,,33,1,,3,,17,,5,,2,0.0,0,,,1
0,0,216,0.0,,4.0,26,2,30.0,3,61.0,24,16.0,5,2.0,3,0.0,0,0.0,1.0,1
1,2,144,1.0,1.0,4.0,32,1,36.0,3,66.0,30,17.0,5,1.0,1,0.0,0,1.0,1.0,1
0,3,245,1.0,,9.0,26,2,35.0,10,44.0,24,15.0,4,2.0,2,0.0,0,0.0,1.0,1
0,0,3,1.0,,7.0,23,4,30.0,10,62.0,14,14.0,4,3.0,1,0.0,0,1.0,2.0,1
0,2,176,,,11.0,22,4,33.0,10,66.0,13,,3,1.0,1,2.0,0,0.0,1.0,1
0,0,4,0.0,,13.0,27,4,40.0,10,73.0,18,17.0,4,2.0,2,0.0,0,0.0,1.0,1
1,1,245,0.0,,10.0,47,4,57.0,10,32.0,12,10.0,4,0.0,1,0.0,0,0.0,1.0,1
0,0,176,0.0,,8.0,17,4,25.0,10,66.0,15,15.0,4,2.0,2,3.0,0,0.0,1.0,1
0,2,176,0.0,,7.0,26,4,33.0,10,11.0,13,15.0,3,1.0,1,4.0,0,0.0,1.0,1
0,0,4,0.0,,8.0,32,4,40.0,10,73.0,18,16.0,4,1.0,1,0.0,0,0.0,2.0,1
0,0,45,0.0,,16.0,27,2,43.0,5,62.0,22,17.0,2,1.0,2,0.0,0,1.0,1.0,2
1,5,45,0.0,,5.0,33,2,38.0,5,11.0,25,15.0,2,1.0,0,0.0,0,1.0,1.0,2
0,0,15,0.0,,38.0,17,4,55.0,5,11.0,17,17.0,2,0.0,0,0.0,0,1.0,1.0,2
0,2,45,0.0,,13.0,39,2,52.0,5,11.0,15,15.0,2,0.0,0,0.0,0,0.0,1.0,2
0,1,45,0.0,,5.0,29,4,34.0,5,11.0,16,14.0,2,0.0,0,0.0,0,1.0,1.0,2
0,0,45,0.0,,6.0,34,3,40.0,5,11.0,15,16.0,2,0.0,0,0.0,0,0.0,1.0,2
0,1,45,0.0,,7.0,23,4,30.0,5,11.0,14,16.0,2,0.0,0,0.0,0,0.0,1.0,2
0,0,3,0.0,,15.0,35,4,50.0,5,12.0,15,14.0,2,0.0,0,0.0,0,0.0,1.0,2
1,0,45,0.0,,4.0,23,2,27.0,5,11.0,19,20.0,2,2.0,0,0.0,0,0.0,1.0,2
0,0,261,0.0,,1.0,25,1,26.0,5,62.0,17,16.0,2,1.0,1,0.0,0,0.0,1.0,2
0,1,45,0.0,,6.0,18,2,24.0,5,62.0,17,17.0,2,0.0,0,0.0,0,0.0,1.0,2
0,0,45,0.0,,5.0,40,2,45.0,5,11.0,17,16.0,2,0.0,1,0.0,0,0.0,1.0,2
1,0,45,0.0,2.0,2.0,43,2,45.0,5,11.0,18,18.0,2,0.0,1,4.0,0,0.0,1.0,2
0,0,45,0.0,,15.0,25,2,40.0,5,11.0,18,20.0,3,1.0,1,0.0,0,0.0,1.0,2
0,0,45,0.0,2.0,23.0,35,2,58.0,5,11.0,24,20.0,2,0.0,2,0.0,0,2.0,1.0,2
0,0,45,0.0,,31.0,27,2,58.0,5,11.0,15,14.0,2,0.0,0,3.0,0,2.0,1.0,2
0,0,245,0.0,,,34,1,,10,,17,15.0,3,,2,0.0,0,,,2
1,3,245,0.0,2.0,3.0,22,1,25.0,10,11.0,19,15.0,3,1.0,2,1.0,0,0.0,1.0,2
1,1,245,1.0,1.0,4.0,30,1,34.0,10,72.0,14,13.0,3,1.0,1,1.0,0,0.0,1.0,2
0,0,245,1.0,,0.0,33,1,33.0,10,11.0,16,16.0,2,2.0,2,0.0,0,1.0,1.0,2
0,0,245,0.0,,8.0,37,2,45.0,10,53.0,29,16.0,3,1.0,2,0.0,0,0.0,1.0,2
1,2,245,0.0,,4.0,32,2,36.0,10,41.0,14,,5,2.0,2,0.0,0,0.0,1.0,2
0,0,245,0.0,0.0,2.0,29,2,31.0,10,54.0,26,19.0,3,2.0,1,1.0,0,0.0,2.0,2
1,2,245,0.0,2.0,5.0,35,2,40.0,10,11.0,17,15.0,3,2.0,2,0.0,0,0.0,1.0,2
0,0,235,1.0,,6.0,48,2,54.0,10,11.0,23,15.0,2,2.0,1,0.0,0,0.0,1.0,2
0,1,245,0.0,,3.0,28,2,31.0,10,96.0,24,15.0,3,1.0,2,0.0,0,0.0,1.0,2
1,2,245,0.0,2.0,9.0,40,2,49.0,10,11.0,24,19.0,3,1.0,1,3.0,0,0.0,1.0,2
1,5,179,0.0,0.0,4.0,30,1,34.0,3,75.0,23,17.0,4,2.0,2,0.0,0,0.0,1.0,1
0,0,244,0.0,2.0,,46,1,,3,,25,16.0,5,,2,0.0,0,,,1
0,2,996,1.0,,1.0,44,96,45.0,3,11.0,24,23.0,4,2.0,2,0.0,0,0.0,1.0,1
1,3,244,1.0,2.0,10.0,27,2,37.0,3,72.0,22,19.0,5,2.0,3,0.0,1,0.0,1.0,1
1,4,202,0.0,1.0,0.0,45,1,45.0,3,62.0,14,17.0,5,1.0,1,0.0,0,,2.0,1
0,4,202,1.0,0.0,3.0,32,1,35.0,3,62.0,22,16.0,5,2.0,2,1.0,0,0.0,1.0,1
1,5,202,1.0,0.0,8.0,31,1,39.0,3,66.0,26,15.0,5,,2,1.0,0,0.0,2.0,1
1,4,202,,1.0,5.0,46,1,51.0,3,31.0,18,13.0,5,3.0,3,0.0,0,0.0,1.0,1
1,3,202,0.0,2.0,7.0,21,1,28.0,3,54.0,18,18.0,4,2.0,2,0.0,2,0.0,1.0,1
0,0,101,0.0,,7.0,24,3,31.0,5,33.0,20,21.0,3,3.0,2,0.0,0,0.0,1.0,1
0,0,47,0.0,,,29,2,,5,,13,14.0,2,,1,0.0,0,,,1
1,2,55,1.0,,16.0,36,2,52.0,5,42.0,16,15.0,3,2.0,1,1.0,0,0.0,1.0,1
1,5,55,0.0,2.0,0.0,28,2,28.0,5,54.0,20,17.0,3,2.0,2,2.0,0,0.0,1.0,1
1,4,202,1.0,2.0,3.0,27,1,30.0,5,61.0,25,18.0,4,2.0,1,1.0,0,0.0,1.0,1
0,0,47,1.0,0.0,3.0,18,3,21.0,5,72.0,16,16.0,3,2.0,0,5.0,0,0.0,1.0,1
0,0,60,0.0,,10.0,32,1,42.0,5,11.0,19,15.0,2,1.0,0,0.0,0,1.0,1.0,1
1,1,54,0.0,,11.0,18,4,29.0,5,62.0,16,15.0,4,2.0,2,1.0,0,0.0,1.0,1
1,2,55,0.0,1.0,8.0,22,1,30.0,5,54.0,12,13.0,2,1.0,0,3.0,0,0.0,1.0,1
0,0,47,1.0,,14.0,29,1,43.0,5,11.0,16,16.0,3,2.0,1,0.0,1,0.0,1.0,1
1,0,47,0.0,2.0,1.0,20,1,21.0,5,11.0,18,18.0,2,2.0,2,0.0,0,0.0,1.0,1
0,0,1,0.0,,,33,4,,5,,15,15.0,3,,0,1.0,0,,,1
0,1,54,0.0,,12.0,18,4,30.0,5,66.0,15,16.0,3,2.0,1,0.0,0,1.0,1.0,1
1,4,101,1.0,2.0,10.0,30,1,40.0,10,96.0,18,14.0,3,0.0,1,0.0,0,0.0,1.0,2
0,0,155,0.0,,5.0,25,2,30.0,10,42.0,22,23.0,4,2.0,2,0.0,0,0.0,1.0,2
1,0,244,0.0,1.0,-2.0,42,1,40.0,10,61.0,18,19.0,3,0.0,2,2.0,3,0.0,1.0,2
0,2,188,1.0,,21.0,37,1,58.0,10,31.0,27,19.0,5,2.0,2,0.0,0,0.0,1.0,2
1,1,232,1.0,2.0,4.0,40,1,44.0,10,21.0,17,14.0,5,2.0,2,0.0,2,0.0,1.0,2
0,4,996,0.0,,6.0,22,1,28.0,10,21.0,18,18.0,4,3.0,2,0.0,0,0.0,1.0,2
0,0,177,0.0,2.0,13.0,20,1,33.0,10,66.0,18,18.0,5,2.0,2,0.0,0,0.0,1.0,2
0,3,188,0.0,2.0,,36,1,,2,,26,18.0,5,,2,0.0,0,,,1
1,1,185,0.0,2.0,5.0,27,96,32.0,2,66.0,17,16.0,4,2.0,2,0.0,2,0.0,1.0,1
0,0,199,0.0,,4.0,28,3,32.0,2,33.0,23,23.0,5,3.0,3,0.0,0,0.0,1.0,1
0,0,245,0.0,,1.0,40,1,41.0,2,33.0,27,17.0,5,2.0,2,0.0,0,0.0,1.0,1
1,4,236,0.0,2.0,,46,1,,2,,22,16.0,5,,2,0.0,0,,,1
0,2,202,0.0,2.0,10.0,22,1,32.0,2,62.0,16,,5,2.0,2,0.0,0,0.0,1.0,1
1,3,176,1.0,,0.0,19,4,19.0,2,66.0,14,14.0,4,2.0,2,0.0,0,0.0,1.0,1
0,2,202,0.0,,5.0,33,1,38.0,2,72.0,22,14.0,4,1.0,1,0.0,0,0.0,1.0,1
0,2,179,0.0,0.0,9.0,22,1,31.0,2,66.0,22,20.0,4,2.0,2,0.0,0,,1.0,1
1,1,236,1.0,,,25,1,,2,,22,15.0,4,,1,0.0,0,,,1
0,0,202,1.0,1.0,10.0,48,2,58.0,9,78.0,20,16.0,2,1.0,1,2.0,1,0.0,1.0,2
0,1,202,0.0,1.0,1.0,33,1,34.0,9,66.0,24,18.0,3,1.0,1,0.0,0,0.0,2.0,2
0,0,202,,2.0,15.0,31,2,46.0,9,71.0,12,14.0,2,1.0,0,5.0,3,0.0,1.0,2
1,0,202,0.0,1.0,28.0,40,2,68.0,9,11.0,20,18.0,2,1.0,2,2.0,0,2.0,2.0,2
1,0,202,0.0,2.0,11.0,39,3,50.0,9,11.0,13,15.0,2,1.0,2,0.0,0,0.0,2.0,2
0,1,202,0.0,1.0,7.0,28,1,35.0,9,66.0,19,19.0,2,2.0,2,3.0,0,0.0,2.0,2
0,0,202,0.0,2.0,5.0,40,1,45.0,9,66.0,17,18.0,2,2.0,2,0.0,2,0.0,2.0,2
1,2,202,0.0,1.0,,33,2,,9,,24,,2,,2,0.0,0,,,2
1,2,151,0.0,0.0,24.0,31,1,55.0,11,42.0,24,17.0,5,2.0,2,0.0,0,0.0,1.0,1
0,2,213,,0.0,,26,1,,11,,19,15.0,5,,2,0.0,0,,,1
0,1,213,0.0,,6.0,32,1,38.0,11,42.0,25,18.0,5,3.0,2,0.0,0,0.0,1.0,1
0,0,107,1.0,0.0,9.0,34,2,43.0,11,0.0,16,17.0,5,2.0,2,0.0,1,,1.0,1
0,1,218,1.0,1.0,4.0,46,2,50.0,11,11.0,15,12.0,5,2.0,1,2.0,0,0.0,1.0,1
0,0,158,,,5.0,25,1,30.0,11,72.0,22,18.0,4,2.0,2,0.0,0,0.0,1.0,1
0,1,190,0.0,,7.0,22,2,29.0,11,96.0,22,16.0,5,2.0,2,0.0,1,0.0,1.0,1
0,1,167,,,5.0,29,1,34.0,11,96.0,24,22.0,4,2.0,3,0.0,1,0.0,1.0,1
1,4,143,1.0,2.0,,25,1,,11,,19,16.0,4,,2,5.0,0,,,1
0,1,218,0.0,2.0,,22,1,,11,,19,15.0,3,,2,0.0,0,,,1
1,3,195,0.0,,0.0,42,3,42.0,11,31.0,21,15.0,5,3.0,2,0.0,0,0.0,1.0,1
0,1,996,0.0,0.0,4.0,23,1,27.0,11,66.0,18,17.0,4,2.0,1,0.0,0,0.0,1.0,1
0,1,202,0.0,,10.0,30,1,40.0,11,62.0,22,18.0,5,1.0,3,2.0,1,0.0,1.0,1
0,1,996,0.0,,2.0,23,1,25.0,11,72.0,20,15.0,5,2.0,2,0.0,0,0.0,1.0,1
0,2,213,0.0,2.0,2.0,43,2,45.0,11,73.0,26,15.0,5,2.0,2,0.0,0,0.0,2.0,1
0,0,261,,,8.0,40,2,48.0,11,11.0,34,20.0,5,2.0,2,0.0,0,0.0,1.0,1
0,0,143,0.0,2.0,5.0,37,2,42.0,11,72.0,16,17.0,3,2.0,1,0.0,3,0.0,2.0,1
1,4,146,0.0,2.0,5.0,28,1,33.0,11,42.0,26,18.0,4,3.0,3,5.0,0,0.0,1.0,1
0,2,165,1.0,0.0,13.0,35,2,48.0,11,46.0,12,13.0,5,2.0,1,0.0,0,0.0,1.0,1
0,0,177,0.0,,8.0,25,1,33.0,11,83.0,13,17.0,4,2.0,2,5.0,1,0.0,1.0,1
0,0,195,0.0,,9.0,26,1,35.0,11,66.0,23,22.0,4,1.0,1,0.0,0,0.0,2.0,1
0,0,143,0.0,2.0,2.0,30,2,32.0,11,72.0,25,25.0,4,1.0,2,0.0,0,0.0,1.0,1
0,0,189,0.0,,,38,1,,2,,17,18.0,4,,0,0.0,0,,,2
1,4,248,1.0,2.0,9.0,31,1,40.0,2,77.0,19,15.0,5,2.0,2,0.0,1,0.0,1.0,2
1,3,236,0.0,2.0,4.0,31,1,35.0,2,66.0,13,15.0,3,2.0,1,0.0,0,0.0,1.0,2
0,2,227,0.0,0.0,4.0,38,1,42.0,2,83.0,24,21.0,5,3.0,2,0.0,0,,2.0,2
0,2,225,1.0,0.0,2.0,33,1,35.0,2,77.0,24,16.0,3,1.0,1,0.0,0,0.0,1.0,2
0,0,190,1.0,,4.0,35,1,39.0,2,66.0,16,15.0,4,2.0,1,0.0,0,0.0,1.0,2
1,3,236,1.0,2.0,10.0,24,1,34.0,2,72.0,20,15.0,4,2.0,1,5.0,2,0.0,1.0,2
1,1,261,1.0,1.0,2.0,33,2,35.0,2,63.0,16,15.0,2,1.0,0,5.0,0,,1.0,2
0,2,190,0.0,2.0,6.0,30,2,36.0,2,62.0,17,15.0,4,2.0,1,0.0,1,,1.0,2
1,2,33,0.0,2.0,6.0,29,2,35.0,2,54.0,23,13.0,4,,2,0.0,1,1.0,1.0,2
1,3,193,0.0,1.0,9.0,24,2,33.0,2,62.0,19,17.0,3,2.0,2,3.0,1,0.0,1.0,2
0,0,78,1.0,1.0,9.0,24,2,33.0,4,72.0,14,14.0,2,1.0,1,0.0,0,0.0,1.0,2
0,3,253,1.0,1.0,2.0,16,3,18.0,4,62.0,14,14.0,3,1.0,1,0.0,0,0.0,1.0,2
0,3,78,0.0,1.0,4.0,17,3,21.0,4,62.0,15,14.0,2,2.0,1,1.0,1,0.0,1.0,2
1,3,78,1.0,1.0,9.0,16,1,25.0,4,62.0,15,14.0,2,1.0,1,0.0,0,0.0,1.0,2
1,3,78,1.0,0.0,,23,1,,4,,18,14.0,2,,0,4.0,0,,,2
0,4,253,1.0,1.0,7.0,33,2,40.0,4,62.0,28,14.0,3,1.0,2,0.0,0,0.0,1.0,2
0,3,78,1.0,1.0,3.0,19,2,22.0,4,62.0,15,13.0,2,1.0,1,0.0,0,0.0,1.0,2
0,0,3,1.0,2.0,23.0,43,2,66.0,4,62.0,15,15.0,2,1.0,1,0.0,0,0.0,1.0,2
0,2,3,0.0,,19.0,21,4,40.0,4,78.0,15,14.0,3,2.0,1,3.0,0,0.0,1.0,2
1,4,78,0.0,1.0,6.0,24,3,30.0,4,62.0,15,11.0,3,1.0,1,2.0,1,0.0,1.0,2
1,3,78,1.0,,11.0,20,1,31.0,4,62.0,16,15.0,3,1.0,1,1.0,0,0.0,1.0,2
1,4,253,0.0,2.0,9.0,16,3,25.0,4,66.0,14,10.0,3,1.0,1,0.0,0,0.0,1.0,2
0,4,3,0.0,1.0,30.0,28,1,58.0,4,11.0,27,15.0,4,1.0,1,0.0,0,2.0,1.0,2
0,2,257,0.0,,18.0,24,3,42.0,4,44.0,23,23.0,3,2.0,2,0.0,0,0.0,1.0,2
1,4,78,1.0,2.0,4.0,38,2,42.0,4,62.0,14,15.0,3,1.0,1,0.0,0,0.0,1.0,2
1,1,3,0.0,,7.0,28,4,35.0,4,76.0,16,14.0,4,1.0,1,2.0,0,1.0,1.0,1
0,2,3,0.0,,6.0,40,4,46.0,4,12.0,19,18.0,3,0.0,0,0.0,0,2.0,1.0,1
0,0,78,0.0,2.0,5.0,20,2,25.0,4,66.0,17,13.0,4,2.0,2,0.0,1,0.0,1.0,1
1,5,229,1.0,2.0,6.0,29,1,35.0,4,42.0,20,16.0,4,2.0,2,3.0,0,0.0,1.0,1
0,3,3,0.0,,7.0,18,4,25.0,4,66.0,15,16.0,3,1.0,1,0.0,0,0.0,1.0,1
1,3,179,1.0,1.0,6.0,38,1,44.0,4,62.0,20,16.0,4,2.0,2,0.0,0,0.0,1.0,1
0,0,3,0.0,,30.0,38,4,68.0,4,62.0,14,14.0,4,0.0,0,0.0,0,0.0,1.0,1
0,1,176,0.0,,0.0,27,4,27.0,4,62.0,16,16.0,3,2.0,2,3.0,0,0.0,1.0,1
0,2,3,0.0,,20.0,20,4,40.0,4,62.0,12,13.0,3,1.0,0,0.0,0,0.0,1.0,1
0,3,3,0.0,,7.0,32,4,39.0,4,62.0,15,16.0,4,2.0,1,0.0,0,0.0,1.0,1
0,1,3,0.0,,5.0,18,4,23.0,4,66.0,17,16.0,4,2.0,1,4.0,0,0.0,1.0,1
0,3,3,0.0,,18.0,27,4,45.0,4,62.0,17,14.0,5,2.0,1,1.0,0,0.0,1.0,1
0,0,3,0.0,,10.0,32,4,42.0,4,62.0,22,15.0,3,1.0,0,0.0,0,1.0,1.0,1
0,3,3,0.0,,8.0,16,4,24.0,4,66.0,15,15.0,5,1.0,1,0.0,0,0.0,1.0,1
0,3,3,0.0,,7.0,18,4,25.0,4,62.0,17,17.0,4,1.0,1,2.0,0,0.0,1.0,1
0,4,3,0.0,,5.0,21,4,26.0,4,66.0,19,20.0,4,2.0,1,3.0,0,0.0,1.0,1
0,2,253,1.0,2.0,1.0,40,1,41.0,4,33.0,26,16.0,4,2.0,2,0.0,0,0.0,1.0,1
